0.9900  0.98010
0.9800  0.96039
0.9700  0.94091
0.9600  0.92159
0.9500  0.90251
0.9400  0.88360
0.9300  0.86491
0.9200  0.84639
0.9100  0.82811
0.9000  0.81000
0.8900  0.79211
0.8800  0.77441
0.8700  0.75690
0.8600  0.73960
0.8500  0.72249
0.8400  0.70561
0.8300  0.68890
0.8200  0.67240
0.8100  0.65610
0.8000  0.64001
0.7900  0.62410
0.7800  0.60840
0.7700  0.59290
0.7600  0.57760
0.7500  0.56250
0.7400  0.54761
0.7300  0.53290
0.7200  0.51840
0.7100  0.50410
0.7000  0.49000
0.6900  0.47610
0.6800  0.46240
0.6700  0.44891
0.6600  0.43561
0.6500  0.42249
0.6400  0.40960
0.6300  0.39690
0.6200  0.38440
0.6100  0.37210
0.6000  0.36000
0.5900  0.34810
0.5800  0.33640
0.5700  0.32490
0.5600  0.31360
0.5500  0.30250
0.5400  0.29160
0.5300  0.28090
0.5200  0.27040
0.5100  0.26010
0.5000  0.25000
0.4900  0.24010
0.4800  0.23040
0.4700  0.22090
0.4600  0.21160
0.4500  0.20250
0.4400  0.19360
0.4300  0.18490
0.4200  0.17640
0.4100  0.16810
0.4000  0.16000
0.3900  0.15210
0.3800  0.14440
0.3700  0.13690
0.3600  0.12960
0.3500  0.12250
0.3400  0.11560
0.3300  0.10890
0.3200  0.10240
0.3100  0.09610
0.3000  0.09000
0.2900  0.08410
0.2800  0.07840
0.2700  0.07290
0.2600  0.06760
0.2500  0.06250
0.2400  0.05760
0.2300  0.05290
0.2200  0.04840
0.2100  0.04410
0.2000  0.04000
0.1900  0.03610
0.1800  0.03240
0.1700  0.02890
0.1600  0.02560
0.1500  0.02250
0.1400  0.01960
0.1300  0.01690
0.1200  0.01440
0.1100  0.01210
0.1000  0.01000
0.0900  0.00810
0.0800  0.00640
0.0700  0.00490
0.0600  0.00360
0.0500  0.00250
0.0400  0.00160
0.0300  0.00090
0.0200  0.00040
0.0100  0.00010
0.0000  0.00000
